#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-D181000C6ACF2FD-4684C0921670AE2
#datatype	hitsConcise Results
#status	0
#Start time	2021-01-11T15:50:57	Run time	0:00:01:43
#status	success

Query Hittype	PSSM-ID	From	To	E-Value	Bitscore	Accession	Shortname	Incomplete	Superfamily
Q#13 - >RYR3L	specific	240458	1072	1204	6.06039e-81	263.007	cd12878	SPRY2_RyR	 - 	cl02614
Q#13 - >RYR3L	specific	367197	216	397	1.28035e-75	250.36	pfam02815	MIR	 - 	cl26702
Q#13 - >RYR3L	specific	366595	2020	2232	3.38063e-75	249.77	pfam01365	RYDR_ITPR	 - 	cl03182
Q#13 - >RYR3L	specific	293937	1324	1462	7.26215e-72	237.974	cd12879	SPRY3_RyR	 - 	cl02614
Q#13 - >RYR3L	superfamily	388622	14	207	1.56397e-63	216.558	cl19745	Ins145_P3_rec superfamily	 - 	 - 
Q#13 - >RYR3L	specific	366883	849	937	1.26239e-46	163.42	pfam02026	RyR	 - 	cl03409
Q#13 - >RYR3L	specific	366883	2596	2686	2.84833e-42	150.709	pfam02026	RyR	 - 	cl03409
Q#13 - >RYR3L	specific	366883	963	1053	5.82764e-41	147.242	pfam02026	RyR	 - 	cl03409
Q#13 - >RYR3L	specific	369886	3724	3837	1.85847e-37	137.266	pfam08454	RIH_assoc	 - 	cl09597
Q#13 - >RYR3L	specific	366883	2714	2798	5.65433e-26	104.485	pfam02026	RyR	 - 	cl03409
Q#13 - >RYR3L	specific	366146	4614	4774	1.83012e-23	102.358	pfam00520	Ion_trans	N	cl37996
Q#13 - >RYR3L	specific	372744	3928	3976	0.000827605	40.2403	pfam13833	EF-hand_8	 - 	cl08302
Q#14 - >RYR3S	specific	240457	641	792	7.7675e-85	274.96	cd12877	SPRY1_RyR	 - 	cl02614
Q#14 - >RYR3S	specific	366595	440	621	3.60076e-84	275.193	pfam01365	RYDR_ITPR	 - 	cl03182
Q#14 - >RYR3S	specific	240458	1072	1204	6.02381e-81	263.007	cd12878	SPRY2_RyR	 - 	cl02614
Q#14 - >RYR3S	specific	368919	4227	4468	8.24454e-80	266.13	pfam06459	RR_TM4-6	 - 	cl24183
Q#14 - >RYR3S	specific	367197	216	397	1.37497e-75	249.975	pfam02815	MIR	 - 	cl26702
Q#14 - >RYR3S	specific	366595	2020	2232	2.90612e-75	249.77	pfam01365	RYDR_ITPR	 - 	cl03182
Q#14 - >RYR3S	specific	293937	1324	1462	7.21813e-72	237.974	cd12879	SPRY3_RyR	 - 	cl02614
Q#14 - >RYR3S	superfamily	388622	14	207	1.53942e-63	216.558	cl19745	Ins145_P3_rec superfamily	 - 	 - 
Q#14 - >RYR3S	specific	366883	849	937	1.25481e-46	163.42	pfam02026	RyR	 - 	cl03409
Q#14 - >RYR3S	specific	366883	2596	2686	2.83124e-42	150.709	pfam02026	RyR	 - 	cl03409
Q#14 - >RYR3S	specific	366883	963	1053	5.79267e-41	147.242	pfam02026	RyR	 - 	cl03409
Q#14 - >RYR3S	specific	369886	3724	3837	1.56627e-37	137.651	pfam08454	RIH_assoc	 - 	cl09597
Q#14 - >RYR3S	specific	366883	2714	2798	5.51216e-26	104.485	pfam02026	RyR	 - 	cl03409
Q#14 - >RYR3S	specific	366146	4585	4745	1.24131e-23	102.743	pfam00520	Ion_trans	N	cl37996
Q#14 - >RYR3S	specific	372744	3928	3976	0.000806631	40.2403	pfam13833	EF-hand_8	 - 	cl08302
Q#15 - >SNAP-25a	specific	277247	10	82	1.69923e-36	122.029	cd15894	SNARE_SNAP25N	 - 	cl22856
Q#15 - >SNAP-25a	specific	277238	143	201	1.22035e-29	104.354	cd15885	SNARE_SNAP25C	 - 	cl22856
Q#15 - >SNAP-25a	specific	366328	91	141	2.18228e-24	90.4097	pfam00835	SNAP-25	 - 	cl02979
Q#16 - >SNAP-25b	specific	277247	10	82	3.75667e-36	121.259	cd15894	SNARE_SNAP25N	 - 	cl22856
Q#16 - >SNAP-25b	specific	277238	143	201	8.81906e-30	104.739	cd15885	SNARE_SNAP25C	 - 	cl22856
Q#16 - >SNAP-25b	specific	366328	91	141	2.02377e-24	90.7949	pfam00835	SNAP-25	 - 	cl02979
Q#17 - >TAp63	specific	176262	177	358	1.08731e-95	292.636	cd08367	P53	 - 	cl14608
Q#17 - >TAp63	specific	188971	543	607	2.63955e-41	144.346	cd09572	SAM_tumor-p63	 - 	cl15755
Q#17 - >TAp63	specific	369476	392	428	8.10531e-15	68.4362	pfam07710	P53_tetramer	 - 	cl06653
Q#17 - >TAp63	specific	369872	452	535	0.00460979	37.7113	pfam08430	Forkhead_N	 - 	cl22540
Q#18 - >deltaNp63	specific	176262	83	264	2.45642e-97	294.177	cd08367	P53	 - 	cl14608
Q#18 - >deltaNp63	specific	188971	449	513	5.30278e-42	145.117	cd09572	SAM_tumor-p63	 - 	cl15755
Q#18 - >deltaNp63	specific	369476	298	334	7.00081e-15	68.4362	pfam07710	P53_tetramer	 - 	cl06653
