#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-DC8E05C384350A7-1849F2EA150BE32A
#datatype	hitsConcise Results
#status	0
#Start time	2021-01-12T13:42:42	Run time	0:00:08:48
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#34 - >ENST00000374935.7[]	superfamily	367360	3	211	0.000201557	45.7818	cl38111	Atrophin-1 superfamily	NC	 - 
Q#35 - >ENST00000356916.7[]	superfamily	370676	1	88	0.00200822	40.7783	cl37801	PAT1 superfamily	NC	 - 
Q#36 - >ENST00000532082.5[]	specific	367217	78	282	1.07179e-43	147.498	pfam02854	MIF4G	 - 	cl02652
Q#37 - >ENST00000530211.5[]	superfamily	383072	78	115	8.48926e-07	45.4206	cl02652	MIF4G superfamily	C	 - 
Q#38 - >ENST00000524932.5[]	specific	367217	78	241	3.89865e-28	105.897	pfam02854	MIF4G	C	cl02652
Q#39 - >ENST00000525681.5[]	specific	211397	740	876	7.5244e-51	174.78	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#39 - >ENST00000525681.5[]	specific	367217	78	308	5.44745e-50	174.848	pfam02854	MIF4G	 - 	cl02652
Q#39 - >ENST00000525681.5[]	specific	214714	544	657	2.59442e-28	109.642	smart00544	MA3	 - 	cl02653
Q#39 - >ENST00000525681.5[]	superfamily	237191	436	543	0.000257405	43.493	cl36177	PRK12757 superfamily	NC	 - 
Q#40 - >ENST00000531416.5[]	specific	367217	78	308	1.46958e-54	180.24	pfam02854	MIF4G	 - 	cl02652
Q#42 - >ENST00000526148.5[]	specific	211397	740	876	7.5244e-51	174.78	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#42 - >ENST00000526148.5[]	specific	367217	78	308	5.44745e-50	174.848	pfam02854	MIF4G	 - 	cl02652
Q#42 - >ENST00000526148.5[]	specific	214714	544	657	2.59442e-28	109.642	smart00544	MA3	 - 	cl02653
Q#42 - >ENST00000526148.5[]	superfamily	237191	436	543	0.000257405	43.493	cl36177	PRK12757 superfamily	NC	 - 
Q#48 - >ENST00000530702.1[]	superfamily	383072	56	84	0.000148596	38.1018	cl02652	MIF4G superfamily	C	 - 
Q#50 - >ENST00000527526.5[]	superfamily	383072	78	112	1.2073e-05	41.9538	cl02652	MIF4G superfamily	C	 - 
Q#57 - >ENST00000532570.5[]	superfamily	383072	78	130	4.96178e-11	57.3618	cl02652	MIF4G superfamily	C	 - 
Q#58 - >ENST00000527419.5[]	superfamily	383072	9	71	6.82437e-15	65.8362	cl02652	MIF4G superfamily	C	 - 
Q#60 - >ENST00000528839.1[]	specific	211397	81	224	8.35477e-43	141.268	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#60 - >ENST00000528839.1[]	superfamily	383073	1	54	5.81695e-10	54.9433	cl02653	MA3 superfamily	N	 - 
Q#64 - >ENST00000531180.1[]	specific	214714	49	161	2.20585e-31	109.642	smart00544	MA3	 - 	cl02653
Q#66 - >ENST00000602326.5[]	specific	367217	761	989	2.42743e-62	211.442	pfam02854	MIF4G	 - 	cl02652
Q#66 - >ENST00000602326.5[]	specific	211397	1434	1562	6.78807e-48	167.076	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#66 - >ENST00000602326.5[]	specific	367215	1228	1340	6.66262e-37	135.09	pfam02847	MA3	 - 	cl02653
Q#66 - >ENST00000602326.5[]	superfamily	367360	1	239	1.96205e-05	49.2486	cl38111	Atrophin-1 superfamily	NC	 - 
Q#66 - >ENST00000602326.5[]	superfamily	388377	1541	1587	8.39828e-05	45.2817	cl17013	W2 superfamily	N	 - 
Q#66 - >ENST00000602326.5[]	superfamily	282904	162	377	0.000420414	44.9072	cl37540	Herpes_BLLF1 superfamily	NC	 - 
Q#67 - >ENST00000634879.1[]	specific	367217	944	1172	5.99289e-64	216.064	pfam02854	MIF4G	 - 	cl02652
Q#67 - >ENST00000634879.1[]	specific	211397	1617	1745	1.84723e-48	169.002	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#67 - >ENST00000634879.1[]	specific	367215	1411	1523	1.67305e-37	137.016	pfam02847	MA3	 - 	cl02653
Q#67 - >ENST00000634879.1[]	superfamily	367360	85	422	1.02468e-10	66.9677	cl38111	Atrophin-1 superfamily	C	 - 
Q#67 - >ENST00000634879.1[]	superfamily	388377	1724	1770	6.81055e-05	45.6669	cl17013	W2 superfamily	N	 - 
Q#67 - >ENST00000634879.1[]	superfamily	282904	345	560	0.00188455	42.9812	cl37540	Herpes_BLLF1 superfamily	NC	 - 
Q#68 - >ENSMUST00000107562.1[]	superfamily	366206	228	408	1.13071e-61	199.146	cl30083	Guanylate_kin superfamily	 - 	 - 
Q#68 - >ENSMUST00000107562.1[]	specific	212974	99	166	6.05674e-49	161.681	cd12041	SH3_CACNB1	 - 	cl17036
Q#68 - >ENSMUST00000107562.1[]	specific	371868	58	99	1.3938e-19	81.3993	pfam12052	VGCC_beta4Aa_N	 - 	cl13484
Q#69 - >ENSMUST00000193522.1[]	superfamily	366206	50	137	3.12768e-22	86.668	cl30083	Guanylate_kin superfamily	C	 - 
Q#71 - >ENSMUST00000017552.12[]	superfamily	366206	228	408	1.03792e-61	201.843	cl30083	Guanylate_kin superfamily	 - 	 - 
Q#71 - >ENSMUST00000017552.12[]	superfamily	388381	99	166	1.81004e-47	160.14	cl17036	SH3 superfamily	 - 	 - 
Q#71 - >ENSMUST00000017552.12[]	specific	371868	58	99	1.89581e-19	81.3993	pfam12052	VGCC_beta4Aa_N	 - 	cl13484
Q#75 - >ENSMUST00000114723.8[]	superfamily	366206	276	457	2.9414e-58	194.139	cl30083	Guanylate_kin superfamily	 - 	 - 
Q#75 - >ENSMUST00000114723.8[]	specific	212973	108	176	2.11455e-42	147.102	cd12040	SH3_CACNB2	 - 	cl17036
Q#75 - >ENSMUST00000114723.8[]	specific	371868	68	109	4.05175e-17	74.8509	pfam12052	VGCC_beta4Aa_N	 - 	cl13484
Q#77 - >ENSMUST00000103144.9[]	specific	366206	273	453	1.07314e-61	203.769	pfam00625	Guanylate_kin	 - 	cl30083
Q#77 - >ENSMUST00000103144.9[]	superfamily	388381	99	166	6.21615e-47	159.755	cl17036	SH3 superfamily	 - 	 - 
Q#77 - >ENSMUST00000103144.9[]	specific	371868	58	99	6.42246e-20	82.9401	pfam12052	VGCC_beta4Aa_N	 - 	cl13484
Q#80 - >ENSMUST00000114719.6[]	superfamily	366206	232	413	9.6216e-59	194.524	cl30083	Guanylate_kin superfamily	 - 	 - 
Q#80 - >ENSMUST00000114719.6[]	specific	212973	64	132	1.15212e-42	147.487	cd12040	SH3_CACNB2	 - 	cl17036
Q#80 - >ENSMUST00000114719.6[]	specific	371868	24	65	1.8387e-17	76.0065	pfam12052	VGCC_beta4Aa_N	 - 	cl13484
Q#82 - >ENSMUST00000109150.8[]	superfamily	366206	175	355	1.95521e-52	174.879	cl30083	Guanylate_kin superfamily	 - 	 - 
Q#82 - >ENSMUST00000109150.8[]	specific	212975	57	124	7.40366e-45	151.331	cd12042	SH3_CACNB3	 - 	cl17036
Q#82 - >ENSMUST00000109150.8[]	specific	371868	15	57	3.34778e-15	69.0729	pfam12052	VGCC_beta4Aa_N	 - 	cl13484
Q#85 - >ENSMUST00000092736.10[]	superfamily	366206	273	453	1.11251e-61	200.302	cl30083	Guanylate_kin superfamily	 - 	 - 
Q#85 - >ENSMUST00000092736.10[]	specific	212974	99	166	3.4836e-48	160.91	cd12041	SH3_CACNB1	 - 	cl17036
Q#85 - >ENSMUST00000092736.10[]	specific	371868	58	99	3.33563e-20	83.3253	pfam12052	VGCC_beta4Aa_N	 - 	cl13484
Q#88 - >ENSMUST00000107561.8[]	superfamily	366206	226	406	2.33869e-62	200.687	cl30083	Guanylate_kin superfamily	 - 	 - 
Q#88 - >ENSMUST00000107561.8[]	specific	212974	52	119	4.56904e-49	162.066	cd12041	SH3_CACNB1	 - 	cl17036
Q#88 - >ENSMUST00000107561.8[]	specific	371868	11	52	1.95223e-20	84.0957	pfam12052	VGCC_beta4Aa_N	 - 	cl13484
Q#89 - >ENSMUST00000003442.8[]	specific	212975	58	125	5.82399e-45	150.946	cd12042	SH3_CACNB3	 - 	cl17036
Q#89 - >ENSMUST00000003442.8[]	superfamily	366206	166	329	7.27027e-45	154.463	cl30083	Guanylate_kin superfamily	 - 	 - 
Q#89 - >ENSMUST00000003442.8[]	specific	371868	16	58	9.05478e-15	67.9173	pfam12052	VGCC_beta4Aa_N	 - 	cl13484
Q#90 - >ENSMUST00000230490.1[]	superfamily	366206	176	356	2.26704e-52	174.879	cl30083	Guanylate_kin superfamily	 - 	 - 
Q#90 - >ENSMUST00000230490.1[]	specific	212975	58	125	1.24658e-44	150.56	cd12042	SH3_CACNB3	 - 	cl17036
Q#90 - >ENSMUST00000230490.1[]	specific	371868	16	58	2.75976e-15	69.4581	pfam12052	VGCC_beta4Aa_N	 - 	cl13484
Q#95 - >ENSMUST00000193800.5[]	superfamily	366206	226	407	1.85906e-58	193.753	cl30083	Guanylate_kin superfamily	 - 	 - 
Q#95 - >ENSMUST00000193800.5[]	specific	212973	58	126	1.18825e-42	147.102	cd12040	SH3_CACNB2	 - 	cl17036
Q#95 - >ENSMUST00000193800.5[]	specific	371868	18	59	2.66297e-17	75.6213	pfam12052	VGCC_beta4Aa_N	 - 	cl13484
Q#98 - >Rhov.ENSMUSG00000034226.ENSMUST00000037360.7[]	specific	133330	32	205	1.20627e-123	347.853	cd04130	Wrch_1	 - 	cl38936
Q#99 - >Rhoc.ENSMUSG00000002233.ENSMUST00000002303.11[]	specific	206662	5	179	8.07963e-138	381.776	cd01870	RhoA_like	 - 	cl38936
Q#100 - >Rhog.ENSMUSG00000073982.ENSMUST00000098230.10[]	specific	133277	1	191	4.69787e-156	428.274	cd01875	RhoG	 - 	cl38936
Q#102 - >Rhoj.ENSMUSG00000046768.ENSMUST00000118966.7[]	superfamily	393306	22	167	5.71001e-102	289.995	cl38936	P-loop_NTPase superfamily	 - 	 - 
Q#103 - >Rhou.ENSMUSG00000039960.ENSMUST00000045487.3[]	specific	133330	53	225	6.3134e-125	352.09	cd04130	Wrch_1	 - 	cl38936
Q#106 - >Rac2.ENSMUSG00000033220.ENSMUST00000229394.1[]	superfamily	393306	1	36	7.23877e-23	83.9052	cl38936	P-loop_NTPase superfamily	C	 - 
Q#107 - >Rhoj.ENSMUSG00000046768.ENSMUST00000055390.5[]	superfamily	393306	22	195	2.24213e-122	343.922	cl38936	P-loop_NTPase superfamily	 - 	 - 
Q#108 - >Rac2.ENSMUSG00000033220.ENSMUST00000230952.1[]	superfamily	393306	2	64	1.17388e-37	123.384	cl38936	P-loop_NTPase superfamily	N	 - 
Q#109 - >Rhoc.ENSMUSG00000002233.ENSMUST00000106787.7[]	specific	206662	5	179	8.07963e-138	381.776	cd01870	RhoA_like	 - 	cl38936
Q#110 - >Rac1.ENSMUSG00000001847.ENSMUST00000100489.3[]	specific	206663	3	195	1.91478e-136	379.156	cd01871	Rac1_like	 - 	cl38936
Q#111 - >Rhoj.ENSMUSG00000046768.ENSMUST00000118602.7[]	superfamily	393306	22	167	2.39325e-102	291.15	cl38936	P-loop_NTPase superfamily	 - 	 - 
Q#112 - >Rhog.ENSMUSG00000073982.ENSMUST00000106923.1[]	specific	133277	1	191	4.69787e-156	428.274	cd01875	RhoG	 - 	cl38936
Q#114 - >Rhog.ENSMUSG00000073982.ENSMUST00000209968.1[]	superfamily	393306	1	83	3.97672e-68	201.391	cl38936	P-loop_NTPase superfamily	C	 - 
Q#116 - >Rac1.ENSMUSG00000001847.ENSMUST00000080537.13[]	specific	206663	3	176	1.60287e-141	391.097	cd01871	Rac1_like	 - 	cl38936
Q#118 - >Rhoc.ENSMUSG00000002233.ENSMUST00000176347.5[]	superfamily	393306	5	136	1.5748e-107	303.196	cl38936	P-loop_NTPase superfamily	C	 - 
Q#119 - >Rhob.ENSMUSG00000054364.ENSMUST00000067384.5[]	specific	206662	5	179	6.28794e-132	367.139	cd01870	RhoA_like	 - 	cl38936
Q#120 - >Rhoa.ENSMUSG00000007815.ENSMUST00000193490.1[]	superfamily	393306	5	67	4.25534e-49	151.812	cl38936	P-loop_NTPase superfamily	C	 - 
Q#122 - >Rac2.ENSMUSG00000033220.ENSMUST00000043214.7[]	specific	206663	3	176	1.16586e-136	378.771	cd01871	Rac1_like	 - 	cl38936
Q#123 - >Rac3.ENSMUSG00000018012.ENSMUST00000018156.11[]	specific	206663	3	176	6.53168e-141	389.557	cd01871	Rac1_like	 - 	cl38936
Q#124 - >Rac3.ENSMUSG00000018012.ENSMUST00000142229.1[]	specific	206663	6	169	2.68443e-132	367.6	cd01871	Rac1_like	 - 	cl38936
Q#125 - >Rhoc.ENSMUSG00000002233.ENSMUST00000196817.4[]	specific	206662	5	179	8.07963e-138	381.776	cd01870	RhoA_like	 - 	cl38936
Q#126 - >Rhoq.ENSMUSG00000024143.ENSMUST00000024956.14[]	specific	206707	10	183	5.36739e-129	360.101	cd04135	Tc10	 - 	cl38936
Q#127 - >Rhod.ENSMUSG00000041845.ENSMUST00000117462.1[]	specific	197554	20	160	1.64119e-88	257.542	smart00174	RHO	C	cl30515
Q#129 - >Rhoa.ENSMUSG00000007815.ENSMUST00000194701.5[]	specific	206662	5	165	2.50795e-129	359.049	cd01870	RhoA_like	 - 	cl38936
Q#131 - >Rhoa.ENSMUSG00000007815.ENSMUST00000007959.13[]	specific	206662	5	179	5.77556e-141	389.865	cd01870	RhoA_like	 - 	cl38936
Q#132 - >Rhoc.ENSMUSG00000002233.ENSMUST00000199824.1[]	superfamily	393306	5	118	1.39155e-95	271.609	cl38936	P-loop_NTPase superfamily	C	 - 
Q#133 - >Rhod.ENSMUSG00000041845.ENSMUST00000048197.9[]	specific	206704	17	208	9.58228e-118	332.769	cd04132	Rho4_like	 - 	cl38936
Q#134 - >Rhoq.ENSMUSG00000024143.ENSMUST00000139344.1[]	superfamily	393306	10	153	1.28477e-106	301.165	cl38936	P-loop_NTPase superfamily	 - 	 - 
Q#135 - >Rhoj.ENSMUSG00000046768.ENSMUST00000172981.1[]	superfamily	393306	3	40	6.444e-24	88.7549	cl38936	P-loop_NTPase superfamily	C	 - 
Q#136 - >Rhoq.ENSMUSG00000024143.ENSMUST00000234309.1[]	superfamily	393306	1	72	5.1423e-41	132.448	cl38936	P-loop_NTPase superfamily	N	 - 
Q#137 - >Rhod.ENSMUSG00000041845.ENSMUST00000235680.1[]	superfamily	393306	17	161	1.15784e-88	260.736	cl38936	P-loop_NTPase superfamily	C	 - 
Q#140 - >ENSMUST00000135589.7[]	specific	368000	39	144	6.36824e-59	181.958	pfam04571	Lipin_N	 - 	cl04599
Q#143 - >ENSMUST00000126681.7[]	specific	369773	672	897	3.63924e-156	457.709	pfam08235	LNS2	 - 	cl21460
Q#143 - >ENSMUST00000126681.7[]	specific	368000	39	144	2.75123e-56	188.891	pfam04571	Lipin_N	 - 	cl04599
Q#143 - >ENSMUST00000126681.7[]	specific	374860	504	594	2.82102e-41	146.257	pfam16876	Lipin_mid	 - 	cl25173
Q#144 - >ENSMUST00000129635.7[]	specific	369773	634	859	1.29928e-156	457.709	pfam08235	LNS2	 - 	cl21460
Q#144 - >ENSMUST00000129635.7[]	specific	368000	1	106	2.20484e-56	188.891	pfam04571	Lipin_N	 - 	cl04599
Q#144 - >ENSMUST00000129635.7[]	specific	374860	466	556	2.5137e-41	146.257	pfam16876	Lipin_mid	 - 	cl25173
Q#145 - >ENSMUST00000109457.2[]	specific	369773	599	824	2.11694e-159	463.873	pfam08235	LNS2	 - 	cl21460
Q#145 - >ENSMUST00000109457.2[]	superfamily	227415	1	826	9.08289e-97	314.126	cl27126	SMP2 superfamily	 - 	 - 
Q#146 - >ENSMUST00000040872.12[]	specific	369773	589	814	1.59221e-159	463.873	pfam08235	LNS2	 - 	cl21460
Q#146 - >ENSMUST00000040872.12[]	superfamily	227415	1	816	2.03781e-97	315.666	cl27126	SMP2 superfamily	 - 	 - 
Q#148 - >ENSMUST00000109456.8[]	specific	369773	589	814	1.59221e-159	463.873	pfam08235	LNS2	 - 	cl21460
Q#148 - >ENSMUST00000109456.8[]	superfamily	227415	1	816	2.03781e-97	315.666	cl27126	SMP2 superfamily	 - 	 - 
Q#149 - >ENSMUST00000109455.8[]	specific	369773	558	783	6.50292e-160	463.873	pfam08235	LNS2	 - 	cl21460
Q#149 - >ENSMUST00000109455.8[]	superfamily	227415	1	785	1.18426e-99	321.059	cl27126	SMP2 superfamily	 - 	 - 
Q#150 - >ENSMUST00000154507.7[]	superfamily	374860	2	53	5.28666e-21	79.2318	cl25173	Lipin_mid superfamily	N	 - 
Q#155 - >ENSMUST00000156570.7[]	specific	368000	1	106	3.27015e-59	189.276	pfam04571	Lipin_N	 - 	cl04599
Q#156 - >ENSMUST00000018637.14[]	specific	276875	100	773	0	1323.58	cd14910	MYSc_Myh1_mammals	 - 	cl22853
Q#156 - >ENSMUST00000018637.14[]	superfamily	366712	853	1930	4.04629e-168	543.193	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#156 - >ENSMUST00000018637.14[]	specific	367160	35	73	1.92034e-11	60.0778	pfam02736	Myosin_N	 - 	cl03686
Q#157 - >ENSMUST00000018641.7[]	superfamily	354959	100	773	0	1328.53	cl22853	Motor_domain superfamily	 - 	 - 
Q#157 - >ENSMUST00000018641.7[]	superfamily	366712	853	1930	1.5155e-168	544.349	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#157 - >ENSMUST00000018641.7[]	specific	367160	35	73	1.35595e-10	57.7667	pfam02736	Myosin_N	 - 	cl03686
Q#158 - >ENSMUST00000018632.10[]	specific	276879	100	770	0	1360.95	cd14915	MYSc_Myh4	 - 	cl22853
Q#158 - >ENSMUST00000018632.10[]	superfamily	366712	850	1927	7.56033e-171	550.512	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#158 - >ENSMUST00000018632.10[]	specific	367160	35	73	2.24184e-11	60.0778	pfam02736	Myosin_N	 - 	cl03686
Q#159 - >ENSMUST00000007301.13[]	specific	276878	100	767	0	1446.01	cd14913	MYSc_Myh3	 - 	cl22853
Q#159 - >ENSMUST00000007301.13[]	superfamily	366712	847	1924	2.27207e-160	521.622	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#159 - >ENSMUST00000007301.13[]	specific	367160	35	73	8.06879e-11	58.1519	pfam02736	Myosin_N	 - 	cl03686
Q#160 - >ENSMUST00000016771.12[]	specific	366712	842	1921	0	1467.67	pfam01576	Myosin_tail_1	 - 	cl37647
Q#160 - >ENSMUST00000016771.12[]	superfamily	354959	95	764	0	1360.46	cl22853	Motor_domain superfamily	 - 	 - 
Q#160 - >ENSMUST00000016771.12[]	specific	367160	29	68	6.63145e-07	47.3663	pfam02736	Myosin_N	 - 	cl03686
Q#161 - >ENSMUST00000090287.4[]	specific	366712	848	1928	0	1449.57	pfam01576	Myosin_tail_1	 - 	cl37647
Q#161 - >ENSMUST00000090287.4[]	specific	276885	99	771	0	1327.72	cd14921	MYSc_Myh11	 - 	cl22853
Q#161 - >ENSMUST00000090287.4[]	specific	367160	33	71	9.1004e-12	61.2334	pfam02736	Myosin_N	 - 	cl03686
Q#162 - >ENSMUST00000081911.11[]	specific	276887	100	770	0	1339.72	cd14923	MYSc_Myh13	 - 	cl22853
Q#162 - >ENSMUST00000081911.11[]	superfamily	366712	850	1927	2.41418e-156	510.451	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#162 - >ENSMUST00000081911.11[]	specific	367160	35	73	2.19649e-09	54.2999	pfam02736	Myosin_N	 - 	cl03686
Q#163 - >ENSMUST00000075734.5[]	specific	276875	100	773	0	1323.58	cd14910	MYSc_Myh1_mammals	 - 	cl22853
Q#163 - >ENSMUST00000075734.5[]	superfamily	366712	853	1930	4.04629e-168	543.193	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#163 - >ENSMUST00000075734.5[]	specific	367160	35	73	1.92034e-11	60.0778	pfam02736	Myosin_N	 - 	cl03686
Q#164 - >ENSMUST00000081857.13[]	specific	276951	99	768	0	1338.26	cd01377	MYSc_class_II	 - 	cl22853
Q#164 - >ENSMUST00000081857.13[]	superfamily	366712	848	1925	6.83958e-168	542.423	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#164 - >ENSMUST00000081857.13[]	specific	367160	34	72	9.9355e-13	63.9298	pfam02736	Myosin_N	 - 	cl03686
Q#165 - >ENSMUST00000019625.11[]	superfamily	354959	102	769	0	1347.4	cl22853	Motor_domain superfamily	 - 	 - 
Q#165 - >ENSMUST00000019625.11[]	superfamily	366712	849	1926	3.49583e-168	543.193	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#165 - >ENSMUST00000019625.11[]	specific	367160	37	75	1.25073e-10	57.7667	pfam02736	Myosin_N	 - 	cl03686
Q#166 - >ENSMUST00000108685.8[]	superfamily	354959	102	170	2.64591e-47	163.789	cl22853	Motor_domain superfamily	C	 - 
